iter	RMSE
0	1.076735107
1	1.046637222
2	1.017799071
3	0.9905783118
4	0.9638593911
5	0.938446491
6	0.9124332765
7	0.8877373969
8	0.8638133341
9	0.8407354009
10	0.8179645523
11	0.7956475095
12	0.7751160555
13	0.7541853951
14	0.7341144787
15	0.7152747156
16	0.6964613367
17	0.6786981163
18	0.6617124633
19	0.6447774219
20	0.6284586359
21	0.6122507663
22	0.5969219514
23	0.5819889262
24	0.5674603442
25	0.5535472771
26	0.5406371466
27	0.5274564197
28	0.5153144091
29	0.5033651008
30	0.4919057113
31	0.4809004637
32	0.4701535524
33	0.4595424224
34	0.4494547905
35	0.4398966242
36	0.4309578333
37	0.4220617399
38	0.4132488087
39	0.4047910805
40	0.3965685481
41	0.3887085469
42	0.3814478928
43	0.3745374597
44	0.3676822157
45	0.3610338427
46	0.354735682
47	0.3486486959
48	0.3427674498
49	0.3372671761
50	0.3317249571
51	0.3264952414
52	0.3212417251
53	0.3163226652
54	0.3115578872
55	0.3072044399
56	0.3029533116
57	0.2988808447
58	0.2947512983
59	0.2908874663
60	0.2874451548
61	0.2838143087
62	0.280436648
63	0.277252834
64	0.2740924763
65	0.2711648435
66	0.2683874244
67	0.2655981712
68	0.2628866743
69	0.2599461682
70	0.2575341738
71	0.2549928378
72	0.2526832017
73	0.25070536
74	0.2486202396
75	0.2467579536
76	0.2448553945
77	0.2427863048
78	0.2408429759
79	0.2391769314
80	0.2374211168
81	0.2359134546
82	0.2347376094
83	0.2332134756
84	0.2317670055
85	0.230670257
86	0.2296645499
87	0.2283817252
88	0.2270387042
89	0.2257208274
90	0.2247360358
91	0.2237009333
92	0.2227929336
93	0.2215663974
94	0.2205501183
95	0.2196533543
96	0.2188856319
97	0.2178949322
98	0.2171853204
99	0.2164844337
100	0.2157588507
101	0.2149806865
102	0.2144327717
103	0.2137310615
104	0.2130372663
105	0.2120738648
106	0.2111702678
107	0.2105973574
108	0.2097205222
109	0.209099158
110	0.2083818208
111	0.2080885439
112	0.2076991073
113	0.207083196
114	0.2066815117
115	0.2060628136
116	0.2054083439
117	0.2047173616
118	0.204028414
119	0.203336053
120	0.2027102361
121	0.202005256
122	0.2015965137
123	0.2010518662
124	0.2005340385
125	0.2000389408
126	0.1997607023
127	0.1994930803
128	0.1990535397
129	0.1988020942
130	0.1981301237
131	0.1976497484
132	0.1971701576
133	0.1969208426
134	0.1965457678
135	0.1961470372
136	0.1955181422
137	0.1949627703
138	0.1944665322
139	0.1940173145
140	0.1936450868
141	0.1933171377
142	0.1928794094
143	0.1924307434
144	0.1920137494
145	0.1915617927
146	0.1912935924
147	0.1909448508
148	0.1904988027
149	0.1899220873
150	0.1896447777
151	0.1894269918
152	0.1891676115
153	0.1889541633
154	0.18872029
155	0.1885370621
156	0.1881474531
157	0.1878760406
158	0.1874675743
159	0.1872261031
160	0.1869371826
161	0.186834746
162	0.186633067
163	0.1863822211
164	0.1861907772
165	0.1858268286
166	0.1854648974
167	0.1852283862
168	0.1851034355
169	0.1849646363
170	0.184886991
171	0.184394615
172	0.1840818484
173	0.1838391434
174	0.1835371242
175	0.1834338957
176	0.1832470127
177	0.1830592608
178	0.18286096
179	0.1826469019
180	0.1823781851
181	0.1822187084
182	0.1820193988
183	0.1818084046
184	0.1815299455
185	0.1813734448
186	0.1811706219
187	0.1810551145
188	0.1807714504
189	0.1805166416
190	0.1803140803
191	0.1800687084
192	0.1799010435
193	0.17977861
194	0.1796097348
195	0.1794684679
196	0.1793575967
197	0.1791629081
198	0.1789109344
199	0.178802214
200	0.17868882
201	0.178598917
202	0.1782613714
203	0.17816553
204	0.1781456152
205	0.1779360154
206	0.1778177312
207	0.1775910058
208	0.1775284471
209	0.1773957778
210	0.1772778454
211	0.17715261
212	0.1770770636
213	0.1768631139
214	0.1765515134
215	0.1764666444
216	0.1763131256
217	0.1760709898
218	0.1757235305
219	0.1755888877
220	0.1753300469
221	0.1750653293
222	0.1749347227
223	0.1748397923
224	0.174742102
225	0.1745052596
226	0.1742710031
227	0.1741256682
228	0.1740061022
229	0.1739218196
230	0.1737702885
231	0.1735285863
232	0.1731116493
233	0.1729348871
234	0.1727991009
235	0.172419343
236	0.1721738901
237	0.1719383123
238	0.171838409
239	0.1717589643
240	0.1716705922
241	0.1715221216
242	0.1713301821
243	0.1711844279
244	0.1710312718
245	0.170897306
246	0.1706480127
247	0.1703516554
