iter	Passed	Remaining
0	70	141795
1	83	83493
2	95	63760
3	105	52584
4	110	44068
5	113	37607
6	120	34429
7	123	30807
8	129	28618
9	134	26860
10	140	25405
11	142	23614
12	150	22947
13	150	21415
14	155	20552
15	157	19523
16	159	18604
17	162	17934
18	164	17182
19	166	16468
20	169	15928
21	170	15327
22	174	14978
23	176	14545
24	177	14011
25	178	13518
26	181	13234
27	182	12853
28	183	12492
29	185	12180
30	188	11953
31	190	11710
32	191	11405
33	191	11101
34	193	10857
35	195	10679
36	198	10542
37	202	10481
38	205	10354
39	209	10246
40	209	10031
41	211	9860
42	213	9700
43	216	9620
44	217	9448
45	219	9316
46	220	9174
47	222	9067
48	224	8947
49	226	8837
50	228	8723
51	229	8610
52	231	8506
53	233	8406
54	234	8309
55	237	8238
56	241	8216
57	242	8129
58	244	8034
59	246	7960
60	247	7880
61	251	7846
62	252	7765
63	254	7711
64	256	7632
65	259	7601
66	261	7545
67	263	7498
68	265	7437
69	269	7418
70	273	7419
71	275	7375
72	277	7316
73	278	7237
74	280	7197
75	282	7147
76	284	7108
77	286	7061
78	287	7002
79	289	6954
80	291	6906
81	293	6856
82	293	6782
83	295	6748
84	297	6706
85	299	6671
86	301	6623
87	302	6582
88	306	6588
89	310	6586
90	312	6551
91	315	6545
92	316	6496
93	319	6479
94	321	6447
95	323	6414
96	325	6391
97	328	6371
98	331	6363
99	335	6367
100	337	6350
101	339	6318
102	342	6306
103	345	6295
104	351	6336
105	352	6305
106	354	6273
107	356	6240
108	358	6211
109	359	6176
110	360	6143
111	361	6091
112	362	6052
113	364	6023
114	366	6002
115	367	5969
116	371	5983
117	375	5989
118	377	5968
119	379	5937
120	382	5932
121	383	5904
122	385	5876
123	387	5869
124	389	5848
125	391	5822
126	397	5863
127	399	5839
128	403	5846
129	406	5846
130	409	5836
131	411	5817
132	413	5799
133	414	5772
134	416	5754
135	418	5730
136	421	5733
137	423	5709
138	428	5731
139	429	5708
140	432	5697
141	433	5674
142	435	5658
143	437	5638
144	439	5620
145	440	5595
146	442	5578
147	444	5560
148	446	5542
149	447	5520
150	449	5509
151	451	5486
152	452	5467
153	454	5445
154	456	5433
155	458	5413
156	459	5396
157	461	5381
158	464	5373
159	465	5354
160	468	5354
161	470	5334
162	471	5319
163	474	5314
164	476	5300
165	478	5282
166	480	5269
167	481	5251
168	483	5235
169	485	5223
170	486	5201
171	487	5183
172	490	5175
173	491	5157
174	493	5144
175	495	5140
176	497	5122
177	498	5107
178	501	5100
179	503	5088
180	504	5074
181	506	5063
182	509	5062
183	511	5048
184	514	5051
185	516	5035
186	518	5030
187	520	5013
188	521	4997
189	523	4991
190	526	4982
191	527	4968
192	529	4960
193	531	4946
194	533	4934
195	534	4921
196	536	4911
197	540	4918
198	543	4921
199	545	4910
200	548	4909
201	552	4919
202	555	4914
203	556	4898
204	557	4877
205	559	4872
206	562	4869
207	565	4873
208	570	4890
209	574	4897
210	578	4905
211	581	4903
212	584	4903
213	587	4899
214	590	4898
215	592	4896
216	594	4888
217	596	4874
218	600	4880
219	602	4876
220	606	4882
221	610	4888
222	612	4880
223	614	4871
224	616	4864
225	623	4891
226	625	4888
227	630	4902
228	636	4921
229	639	4924
230	643	4929
231	645	4918
232	649	4923
233	651	4918
234	654	4913
